Solved Time,Scramble,Type
46.53,F2 R2 D' B2 L' D F' L2 R D F2 B R2 D' F2 L2 B' R D' F' ,ok
39.17,B2 U2 L' B R D F2 R U' L' R U2 D F U' R2 D2 B L' D' ,ok
62.54,R2 U2 F' R' L B R L F2 U L' R2 D U2 R B2 D L' F' R ,ok
44.82,D' F' B' U2 L D R' B' L' U2 F R U2 D2 B' F' R2 D2 L' R' ,ok
36.42,B' U2 R F2 U' B F2 U' B' L2 R F2 L B' U2 D2 L' B D' F2 ,+2
45.84,F2 R L U' F B L' U' B' F R U B2 F' U2 B' F2 R' U L ,ok
50.53,F2 U2 L' R' U L' D2 F' B2 L' R2 B' F2 R2 L F2 U' D' L' R2 ,+2
44.32,D F' B' L2 D2 U' F R' U' F2 L2 U R' F2 D2 L R2 D' U B2 ,ok
45.6,F2 B2 R' F2 D' L F U2 D B2 U2 L' B' F D R2 L U2 R D' ,ok
38.52,R' D B R' L' U2 B F2 L D' B' L' D R' F2 U2 R F D' L2 ,+2
39.76,B2 R U L' D' R2 F D' R F' L' U D B2 F2 L U B2 D' R' ,ok
37.65,U B L D2 F2 B D2 U2 R2 D' F2 L D2 B' F R' B2 F D L2 ,+2
31.16,U' B L2 F U' R L' D2 U2 R F L D B2 F' R2 D U2 B2 R ,ok
35.99,R2 B2 U' F' R2 D F' L' D2 B' R D' U' F' L U D2 R B2 D ,ok
49.81,D F' B' L D B' R' D' B U F' B' U D2 B2 R' F' B2 D2 L' ,ok
42.4,U2 D' L2 R' D2 F L2 B' R U L2 R' D' F2 L U' F D' B' U2 ,ok
39.46,F' L' U D2 R2 F2 L2 D' U' R' B2 U2 D2 L2 F' B2 L2 F2 U' D' ,ok
53.57,B2 U2 L' F' U2 D' F B U2 F2 D2 R2 L' D' F L' B2 F2 U' B' ,DNF
35.15,R' B D F R2 B2 F' U R2 B' F2 D R2 U' B2 F' L2 R2 B2 L2 ,DNF
